date,activity,time
Monday,sleep,6.5
Monday,lessons,9
Monday,study,3
Monday,relax,3
Monday,eat,1.5
Monday,work,0
Monday,sports,0.5
Monday,wash,0.5
Tuesday,sleep,6
Tuesday,lessons,9
Tuesday,study,3
Tuesday,relax,3.5
Tuesday,eat,1.5
Tuesday,work,0
Tuesday,sports,0.5
Tuesday,wash,0.5
Wednesday,sleep,7
Wednesday,lessons,8
Wednesday,study,1
Wednesday,relax,2.5
Wednesday,eat,1.5
Wednesday,work,0.5
Wednesday,sports,2
Wednesday,wash,1.5
Thursday,sleep,6
Thursday,lessons,5.5
Thursday,study,4
Thursday,relax,5
Thursday,eat,1.5
Thursday,work,0.5
Thursday,sports,1
Thursday,wash,0.5
Friday,sleep,7.5
Friday,lessons,7.5
Friday,study,3
Friday,relax,3.5
Friday,eat,1.5
Friday,work,0
Friday,sports,0
Friday,wash,1
Saturday,sleep,7.5
Saturday,lessons,0
Saturday,study,8
Saturday,relax,5
Saturday,eat,1.5
Saturday,work,0.5
Saturday,sports,1
Saturday,wash,0.5
Sunday,sleep,8
Sunday,lessons,3
Sunday,study,8
Sunday,relax,1.5
Sunday,eat,1.5
Sunday,work,0
Sunday,sports,0.5
Sunday,wash,1.5
