date,name,category,value
2011,very-positive,very-positive,24390
2011,positive,positive,7804
2011,negative,negative,5853
2011,very-negative,very-negative,1951
2015,very-positive,very-positive,13630
2015,positive,positive,2350
2015,negative,negative,1880
2015,very-negative,very-negative,940
2018,very-positive,very-positive,23255
2018,positive,positive,9302
2018,negative,negative,4651
2018,very-negative,very-negative,2790
2019,very-positive,very-positive,3011
2019,positive,positive,2375
2019,negative,negative,1672
2019,very-negative,very-negative,1093
2020,very-positive,very-positive,7924
2020,positive,positive,9905
2020,negative,negative,12547
2020,very-negative,very-negative,4622
2024,very-positive,very-positive,12231
2024,positive,positive,2962
2024,negative,negative,3343
2024,very-negative,very-negative,1481
